Country,Care,Fairness,Loyalty,Authority,Sanctity
Australia,3.898505232,3.765919283,2.803587444,2.847832586,2.414499253
Belgium,3.371708051,3.181751288,2.441647597,2.50719697,2.127299485
China,3.192961877,3.375317693,3.070234604,2.850439883,2.526588465
France,3.389937107,3.488888889,2.463665087,2.641509434,1.950793651
Hungary,3.578577337,3.596774194,2.877171216,2.704301075,2.429693962
Iran,3.47245509,3.673453094,3.403659348,2.919793746,3.329607452
Japan,3.790229885,3.095012626,2.393968254,2.658365262,2.766409266
Korea,3.257651992,3.356324249,2.613137666,2.559259259,2.635255066
Latvia,3.622474747,3.513888889,2.951515152,2.474242424,2.684217172
Mongolia,3.029204204,3.111186186,3.13018018,2.969894895,3.151126126
Netherlands,3.301204819,3.077643909,2.314439946,2.499333333,2.118473896
Poland,3.979142186,3.794947121,2.795828437,2.575891108,2.931609871
Russia,3.412250712,3.426566952,2.93454416,2.635042735,3.077065527
Serbia,3.5,3.548611111,3.209722222,3.161805556,3.233333333
Spain,3.7225,4.073333333,2.24625,2.3075,1.580416667
Sweden,3.553312379,3.473170535,2.891803675,2.717319471,1.988829787
Turkey,3.7407281,3.996131968,3.108646189,2.587144482,2.893174061
UK,3.680708181,3.568376068,2.556776557,2.692307692,2.263736264
US,3.68034188,3.637179487,2.604700855,2.90042735,2.523504274
